Otu,host
Alphaflexiviridae ,plant_fungus
Alphasatellitidae,plant
Avsunviroidae,plant
Betaflexiviridae,plant_fungus
Bromoviridae ,plant
Caulimoviridae,plant
Chrysoviridae,fungi
Closteroviridae,plant
Endornaviridae,plant_fungus
Fimoviridae,plant
Fusariviridae,fungi
Gammaflexiviridae,fungi
Geminiviridae,plant
Genomoviridae,fungi
Hypoviridae,fungi
Luteoviridae,plant
Metaviridae,eukaryotic genome
Nanoviridae,plant
Narnaviridae,fungi
Aspiviridae,plant
Paramyxoviridae,vertebrates
Partitiviridae,plant_fungus
Peribunyaviridae ,fungi
Phenuiviridae,plant
Phycodnaviridae,plant
Pospiviroidae,plant
Potyviridae,plant
Reoviridae,plant
Rhabdoviridae,plant
Secoviridae,plant
Solemoviridae,plant
Tolecusatellitidae,plant
Tombusviridae,plant
Totiviridae,fungi
Tymoviridae,plant
Unassigned 14,plant
Unassigned ds RNA virus,fungi
Unassigned Mononegavirales,plant
"Unassigned, Papanivirus",plant
"Unassignede, Idaeovirus",plant
Unclassified dsRNA virus 2,plant
Unclassified viroids ,plant
Unclassified virus 58,plant
"Unclassified, Tetramycovirus",fungi
Unnasigned virus ,plant
Virgaviridae,plant
